month,channel,spend_amount,clicks,conversions
2025-01,Social Media Ads,864,857,47
2025-01,Search Engine,1290,1625,49
2025-01,Email Campaigns,1718,1832,88
2025-01,Influencer Ships,989,1482,58
2025-02,Social Media Ads,1772,2950,72
2025-02,Search Engine,1721,1449,126
2025-02,Email Campaigns,776,556,30
2025-02,Influencer Ships,1988,3662,120
2025-03,Social Media Ads,1217,2251,46
2025-03,Search Engine,544,644,20
2025-03,Email Campaigns,1121,1779,59
2025-03,Influencer Ships,1920,3761,97
2025-04,Social Media Ads,1722,1351,103
2025-04,Search Engine,989,1046,78
2025-04,Email Campaigns,772,1032,36
2025-04,Influencer Ships,1776,2177,134
2025-05,Social Media Ads,501,361,23
2025-05,Search Engine,805,789,38
2025-05,Email Campaigns,1368,1983,121
2025-05,Influencer Ships,542,458,24
2025-06,Social Media Ads,1972,2581,94
2025-06,Search Engine,1640,1460,54
2025-06,Email Campaigns,1200,1248,96
2025-06,Influencer Ships,1877,2390,70
2025-07,Social Media Ads,1109,1057,56
2025-07,Search Engine,900,806,44
2025-07,Email Campaigns,904,1235,46
2025-07,Influencer Ships,1120,930,44
2025-08,Social Media Ads,1474,1220,103
2025-08,Search Engine,538,781,33
2025-08,Email Campaigns,651,809,21
2025-08,Influencer Ships,1804,1282,103
2025-09,Social Media Ads,1452,1719,59
2025-09,Search Engine,813,547,38
2025-09,Email Campaigns,1646,1256,56
2025-09,Influencer Ships,1590,1387,67
2025-10,Social Media Ads,1581,1360,75
2025-10,Search Engine,1913,3184,154
2025-10,Email Campaigns,917,785,75
2025-10,Influencer Ships,1485,1124,117
2025-11,Social Media Ads,1094,825,69
2025-11,Search Engine,2940,3335,272
2025-11,Email Campaigns,1212,823,50
2025-11,Influencer Ships,1572,1901,53
2025-12,Social Media Ads,1048,744,77
2025-12,Search Engine,3128,2555,144
2025-12,Email Campaigns,2602,2341,214
2025-12,Influencer Ships,1738,2393,75
